Project Name,Package Name,Architecture Smell,Cause of the Smell
1.5.1,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.9. All the dependencies among components: from: org.apache.batik.apps.jsvg to: org.apache.batik.swing; from: org.apache.tools.ant.taskdefs.optional to: org.apache.batik.apps.rasterizer; from: org.apache.tools.ant.taskdefs.optional to: org.apache.batik.util; from: org.apache.tools.ant.taskdefs.optional to: org.apache.batik.transcoder; from: org.apache.batik.apps.tiledTranscoder to: org.apache.batik.transcoder; from: org.apache.batik.apps.tiledTranscoder to: org.apache.batik.ext.awt.image; from: com.test.script to: org.w3c.dom.svg; from: com.untrusted.script to: org.apache.batik.script; from: org.apache.batik.apps.rasterizer to: org.apache.batik.transcoder; from: org.apache.batik.apps.rasterizer to: org.apache.batik.util; from: org.apache.batik.apps.rasterizer to: org.apache.batik.i18n; from: org.apache.batik.apps.rasterizer to: org.apache.batik.transcoder.image; from: org.apache.batik.apps.rasterizer to: org.apache.batik.test; from: org.apache.batik.apps.rasterizer to: org.apache.batik.test.util; from: org.apache.batik.apps.slideshow to: org.apache.batik.gvt.renderer; from: org.apache.batik.apps.slideshow to: org.apache.batik.bridge; from: org.apache.batik.apps.slideshow to: org.apache.batik.gvt; from: org.apache.batik.apps.svgbrowser to: org.apache.batik; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.util.gui.resource; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.gvt; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.swing; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.util.gui; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.gvt.text; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.swing.svg; from: org.apache.batik.apps.svgbrowser to: org.w3c.dom.svg; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.ext.swing; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.util; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.transcoder.print; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.transcoder.image; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.dom; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.dom.util; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.swing.gvt; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.bridge; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.xml; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.i18n; from: org.apache.batik.apps.svgbrowser to: org.apache.batik.dom.svg; from: org.apache.batik.apps.svgpp to: org.apache.batik.i18n; from: org.apache.batik.apps.svgpp to: org.apache.batik.transcoder; from: org.apache.batik.apps.svgpp to: org.apache.batik.transcoder.svg2svg; from: org.apache.batik.apps.ttf2svg to: org.apache.batik.svggen.font; from: org.apache.batik.bridge to: org.apache.batik.gvt; from: org.apache.batik.bridge to: org.apache.batik.dom.svg; from: org.apache.batik.bridge to: org.apache.batik.css.engine; from: org.apache.batik.bridge to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.bridge to: org.apache.batik.ext.awt.image; from: org.apache.batik.bridge to: org.apache.batik.ext.awt; from: org.apache.batik.bridge to: org.apache.batik.util; from: org.apache.batik.bridge to: org.apache.batik.dom.util; from: org.apache.batik.bridge to: org.apache.batik.script; from: org.apache.batik.bridge to: org.w3c.dom.svg; from: org.apache.batik.bridge to: org.apache.batik.gvt.event; from: org.apache.batik.bridge to: org.apache.batik.dom.events; from: org.apache.batik.bridge to: org.apache.batik.gvt.renderer; from: org.apache.batik.bridge to: org.apache.batik.gvt.text; from: org.apache.batik.bridge to: org.apache.batik.gvt.font; from: org.apache.batik.bridge to: org.apache.batik.css.engine.value; from: org.apache.batik.bridge to: org.apache.batik.ext.awt.image.spi; from: org.apache.batik.bridge to: org.apache.batik.i18n; from: org.apache.batik.bridge to: org.apache.batik.css.engine.value.svg; from: org.apache.batik.bridge to: org.apache.batik.ext.awt.color; from: org.apache.batik.bridge to: org.apache.batik.ext.awt.geom; from: org.apache.batik.bridge to: org.apache.batik.parser; from: org.apache.batik.bridge to: org.apache.batik.extension.svg; from: org.apache.batik.bridge to: org.apache.batik.test; from: org.apache.batik.css.dom to: org.apache.batik.css.engine; from: org.apache.batik.css.dom to: org.apache.batik.css.engine.value; from: org.apache.batik.css.dom to: org.w3c.dom.svg; from: org.apache.batik.css.dom to: org.apache.batik.css.engine.value.svg; from: org.apache.batik.css.engine to: org.apache.batik.util; from: org.apache.batik.css.engine to: org.apache.batik.css.engine.value; from: org.apache.batik.css.engine to: org.apache.batik.css.parser; from: org.apache.batik.css.engine to: org.w3c.css.sac; from: org.apache.batik.css.engine to: org.apache.batik.css.engine.sac; from: org.apache.batik.css.engine to: org.apache.batik.i18n; from: org.apache.batik.css.engine.sac to: org.w3c.css.sac; from: org.apache.batik.css.engine.value to: org.w3c.css.sac; from: org.apache.batik.css.engine.value to: org.apache.batik.css.engine; from: org.apache.batik.css.engine.value to: org.apache.batik.util; from: org.apache.batik.css.engine.value to: org.apache.batik.i18n; from: org.apache.batik.css.engine.value to: org.apache.batik.test; from: org.apache.batik.css.engine.value.css2 to: org.w3c.css.sac; from: org.apache.batik.css.engine.value.css2 to: org.apache.batik.css.engine; from: org.apache.batik.css.engine.value.css2 to: org.apache.batik.util; from: org.apache.batik.css.engine.value.css2 to: org.apache.batik.css.engine.value; from: org.apache.batik.css.engine.value.svg to: org.apache.batik.css.engine.value; from: org.apache.batik.css.engine.value.svg to: org.apache.batik.util; from: org.apache.batik.css.engine.value.svg to: org.w3c.css.sac; from: org.apache.batik.css.engine.value.svg to: org.apache.batik.css.engine; from: org.apache.batik.css.parser to: org.w3c.css.sac; from: org.apache.batik.css.parser to: org.apache.batik.i18n; from: org.apache.batik.css.parser to: org.apache.batik.util; from: org.apache.batik.css.parser to: org.apache.batik.util.io; from: org.apache.batik.dom to: org.apache.batik.dom.util; from: org.apache.batik.dom to: org.apache.batik.i18n; from: org.apache.batik.dom to: org.apache.batik.dom.traversal; from: org.apache.batik.dom to: org.apache.batik.dom.events; from: org.apache.batik.dom to: org.apache.batik.util; from: org.apache.batik.dom to: org.apache.batik.test; from: org.apache.batik.dom to: org.apache.batik.dom.svg; from: org.apache.batik.dom.events to: org.apache.batik.dom.util; from: org.apache.batik.dom.svg to: org.apache.batik.util; from: org.apache.batik.dom.svg to: org.apache.batik.dom; from: org.apache.batik.dom.svg to: org.apache.batik.css.engine; from: org.apache.batik.dom.svg to: org.apache.batik.parser; from: org.apache.batik.dom.svg to: org.w3c.dom.svg; from: org.apache.batik.dom.svg to: org.apache.batik.dom.util; from: org.apache.batik.dom.svg to: org.apache.batik.css.engine.value; from: org.apache.batik.dom.svg to: org.apache.batik.css.parser; from: org.apache.batik.dom.svg to: org.w3c.css.sac; from: org.apache.batik.dom.svg to: org.apache.batik.i18n; from: org.apache.batik.dom.svg to: org.apache.batik.dom.events; from: org.apache.batik.dom.svg to: org.apache.batik.css.dom; from: org.apache.batik.dom.svg to: org.apache.batik.test; from: org.apache.batik.dom.traversal to: org.apache.batik.dom; from: org.apache.batik.dom.util to: org.apache.batik.util; from: org.apache.batik.dom.util to: org.apache.batik.xml; from: org.apache.batik.ext.awt to: org.apache.batik.ext.awt.image; from: org.apache.batik.ext.awt.font to: org.apache.batik.ext.awt.geom; from: org.apache.batik.ext.awt.geom to: org.apache.batik.i18n; from: org.apache.batik.ext.awt.geom to: org.apache.batik.test; from: org.apache.batik.ext.awt.geom to: org.apache.batik.util; from: org.apache.batik.ext.awt.image to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.ext.awt.image to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.ext.awt.image to: org.apache.batik.ext.awt; from: org.apache.batik.ext.awt.image to: org.apache.batik.util; from: org.apache.batik.ext.awt.image.codec to: org.apache.batik.ext.awt.image; from: org.apache.batik.ext.awt.image.codec to: org.apache.batik.i18n; from: org.apache.batik.ext.awt.image.codec.tiff to: org.apache.batik.ext.awt.image.codec; from: org.apache.batik.ext.awt.image.renderable to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.ext.awt.image.renderable to: org.apache.batik.ext.awt.image; from: org.apache.batik.ext.awt.image.renderable to: org.apache.batik.ext.awt; from: org.apache.batik.ext.awt.image.renderable to: org.apache.batik.ext.awt.color; from: org.apache.batik.ext.awt.image.rendered to: org.apache.batik.ext.awt.image; from: org.apache.batik.ext.awt.image.rendered to: org.apache.batik.ext.awt; from: org.apache.batik.ext.awt.image.rendered to: org.apache.batik.util; from: org.apache.batik.ext.awt.image.rendered to: org.apache.batik.ext.awt.color; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.i18n; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.ext.awt.image; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.util; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.ext.awt.color; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.ext.awt.image.codec; from: org.apache.batik.ext.awt.image.spi to: org.apache.batik.ext.awt.image.codec.tiff; from: org.apache.batik.ext.swing to: org.apache.batik.i18n; from: org.apache.batik.ext.swing to: org.apache.batik.util.gui.resource; from: org.apache.batik.extension to: org.apache.batik.dom; from: org.apache.batik.extension to: org.apache.batik.dom.util; from: org.apache.batik.extension to: org.apache.batik.css.engine; from: org.apache.batik.extension to: org.apache.batik.dom.svg; from: org.apache.batik.extension.svg to: org.apache.batik.bridge; from: org.apache.batik.extension.svg to: org.apache.batik.dom.svg; from: org.apache.batik.extension.svg to: org.apache.batik.dom; from: org.apache.batik.extension.svg to: org.apache.batik.gvt; from: org.apache.batik.extension.svg to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.extension.svg to: org.apache.batik.ext.awt.image; from: org.apache.batik.extension.svg to: org.apache.batik.util; from: org.apache.batik.extension.svg to: org.apache.batik.dom.util; from: org.apache.batik.extension.svg to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.extension.svg to: org.apache.batik.css.engine; from: org.apache.batik.extension.svg to: org.apache.batik.css.engine.value; from: org.apache.batik.extension.svg to: org.apache.batik.gvt.text; from: org.apache.batik.gvt to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.gvt to: org.apache.batik.gvt.event; from: org.apache.batik.gvt to: org.apache.batik.gvt.filter; from: org.apache.batik.gvt to: org.apache.batik.ext.awt; from: org.apache.batik.gvt to: org.apache.batik.ext.awt.image; from: org.apache.batik.gvt to: org.apache.batik.ext.awt.geom; from: org.apache.batik.gvt to: org.apache.batik.gvt.text; from: org.apache.batik.gvt to: org.apache.batik.gvt.renderer; from: org.apache.batik.gvt to: org.apache.batik.i18n; from: org.apache.batik.gvt to: org.apache.batik.swing; from: org.apache.batik.gvt to: org.apache.batik.test; from: org.apache.batik.gvt to: org.w3c.dom.svg; from: org.apache.batik.gvt.event to: org.apache.batik.gvt; from: org.apache.batik.gvt.filter to: org.apache.batik.gvt; from: org.apache.batik.gvt.filter to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.gvt.filter to: org.apache.batik.ext.awt.image; from: org.apache.batik.gvt.filter to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.gvt.font to: org.apache.batik.gvt.text; from: org.apache.batik.gvt.font to: org.apache.batik.gvt; from: org.apache.batik.gvt.renderer to: org.apache.batik.gvt.text; from: org.apache.batik.gvt.renderer to: org.apache.batik.gvt; from: org.apache.batik.gvt.renderer to: org.apache.batik.ext.awt.geom; from: org.apache.batik.gvt.renderer to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.gvt.renderer to: org.apache.batik.ext.awt.image; from: org.apache.batik.gvt.renderer to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.gvt.renderer to: org.apache.batik.gvt.font; from: org.apache.batik.gvt.text to: org.apache.batik.gvt; from: org.apache.batik.gvt.text to: org.apache.batik.gvt.event; from: org.apache.batik.gvt.text to: org.apache.batik.gvt.font; from: org.apache.batik.gvt.text to: org.apache.batik.ext.awt.geom; from: org.apache.batik.parser to: org.apache.batik.i18n; from: org.apache.batik.parser to: org.apache.batik.util.io; from: org.apache.batik.parser to: org.apache.batik.ext.awt.geom; from: org.apache.batik.parser to: org.apache.batik.xml; from: org.apache.batik.parser to: org.w3c.dom.svg; from: org.apache.batik.script.rhino to: org.apache.batik.i18n; from: org.apache.batik.script.rhino to: org.apache.batik.util.gui.resource; from: org.apache.batik.script.rhino to: org.apache.batik.bridge; from: org.apache.batik.script.rhino to: org.apache.batik.script; from: org.apache.batik.script.rhino to: org.apache.batik.util; from: org.apache.batik.svggen to: org.apache.batik.util; from: org.apache.batik.svggen to: org.apache.batik.ext.awt.image.codec; from: org.apache.batik.svggen to: org.apache.batik.ext.awt.g2d; from: org.apache.batik.svggen to: org.apache.batik.dom.svg; from: org.apache.batik.svggen to: org.apache.batik.dom; from: org.apache.batik.svggen to: org.apache.batik.test; from: org.apache.batik.svggen to: org.apache.batik.swing.svg; from: org.apache.batik.svggen to: org.apache.batik.swing; from: org.apache.batik.svggen to: org.apache.batik.i18n; from: org.apache.batik.svggen to: org.w3c.dom.svg; from: org.apache.batik.svggen to: org.apache.batik.bridge; from: org.apache.batik.svggen to: org.apache.batik.test.util; from: org.apache.batik.svggen to: org.apache.batik.test.svg; from: org.apache.batik.svggen.font to: org.apache.batik.svggen.font.table; from: org.apache.batik.svggen.font to: org.apache.batik.i18n; from: org.apache.batik.swing.gvt to: org.apache.batik.gvt.renderer; from: org.apache.batik.swing.gvt to: org.apache.batik.util; from: org.apache.batik.swing.gvt to: org.apache.batik.gvt; from: org.apache.batik.swing.gvt to: org.apache.batik.gvt.event; from: org.apache.batik.swing.gvt to: org.apache.batik.gvt.text; from: org.apache.batik.swing to: org.apache.batik.swing.gvt; from: org.apache.batik.swing to: org.apache.batik.swing.svg; from: org.apache.batik.swing to: org.apache.batik.util.gui; from: org.apache.batik.swing to: org.apache.batik.util; from: org.apache.batik.swing to: org.w3c.dom.svg; from: org.apache.batik.swing to: org.apache.batik.bridge; from: org.apache.batik.swing to: org.apache.batik.i18n; from: org.apache.batik.swing to: org.apache.batik.test; from: org.apache.batik.swing to: org.apache.batik.script; from: org.apache.batik.swing to: org.apache.batik.gvt; from: org.apache.batik.swing to: org.apache.batik.dom.svg; from: org.apache.batik.swing to: org.apache.batik.dom; from: org.apache.batik.swing.svg to: org.w3c.dom.svg; from: org.apache.batik.swing.svg to: org.apache.batik.bridge; from: org.apache.batik.swing.svg to: org.apache.batik.util; from: org.apache.batik.swing.svg to: org.apache.batik.gvt; from: org.apache.batik.swing.svg to: org.apache.batik.gvt.event; from: org.apache.batik.swing.svg to: org.apache.batik.ext.awt.image.spi; from: org.apache.batik.swing.svg to: org.apache.batik.swing.gvt; from: org.apache.batik.swing.svg to: org.apache.batik.gvt.text; from: org.apache.batik.swing.svg to: org.apache.batik.dom.svg; from: org.apache.batik.swing.svg to: org.apache.batik.dom.util; from: org.apache.batik.swing.svg to: org.apache.batik.i18n; from: org.apache.batik.swing.svg to: org.apache.batik.util.gui; from: org.apache.batik.transcoder to: org.apache.batik.gvt; from: org.apache.batik.transcoder to: org.apache.batik.bridge; from: org.apache.batik.transcoder to: org.apache.batik.dom.svg; from: org.apache.batik.transcoder to: org.w3c.dom.svg; from: org.apache.batik.transcoder to: org.apache.batik.util; from: org.apache.batik.transcoder to: org.apache.batik.dom.util; from: org.apache.batik.transcoder to: org.apache.batik.dom; from: org.apache.batik.transcoder.image to: org.apache.batik.transcoder; from: org.apache.batik.transcoder.image to: org.apache.batik.gvt.renderer; from: org.apache.batik.transcoder.image to: org.apache.batik.ext.awt.image; from: org.apache.batik.transcoder.image to: org.apache.batik.ext.awt.image.codec; from: org.apache.batik.transcoder.image to: org.apache.batik.ext.awt.image.rendered; from: org.apache.batik.transcoder.image to: org.apache.batik.ext.awt.image.codec.tiff; from: org.apache.batik.transcoder.image to: org.apache.batik.test; from: org.apache.batik.transcoder.image to: org.apache.batik.ext.awt.image.spi; from: org.apache.batik.transcoder.image to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.transcoder.image to: org.apache.batik.test.svg; from: org.apache.batik.transcoder.image to: org.apache.batik.dom.svg; from: org.apache.batik.transcoder.image to: org.apache.batik.dom.util; from: org.apache.batik.transcoder.image to: org.apache.batik.util; from: org.apache.batik.transcoder.image to: org.apache.batik.dom; from: org.apache.batik.transcoder.image to: org.apache.batik.i18n; from: org.apache.batik.transcoder.image.resources to: org.apache.batik.i18n; from: org.apache.batik.transcoder.keys to: org.apache.batik.transcoder; from: org.apache.batik.transcoder.print to: org.apache.batik.transcoder; from: org.apache.batik.transcoder.print to: org.apache.batik.ext.awt; from: org.apache.batik.transcoder.svg2svg to: org.apache.batik.xml; from: org.apache.batik.transcoder.svg2svg to: org.apache.batik.transcoder; from: org.apache.batik.transcoder.svg2svg to: org.apache.batik.util; from: org.apache.batik.transcoder.svg2svg to: org.apache.batik.dom.util; from: org.apache.batik.transcoder.wmf.tosvg to: org.apache.batik.transcoder.wmf; from: org.apache.batik.transcoder.wmf.tosvg to: org.apache.batik.transcoder; from: org.apache.batik.transcoder.wmf.tosvg to: org.apache.batik.svggen; from: org.apache.batik.transcoder.wmf.tosvg to: org.apache.batik.dom.svg; from: org.apache.batik.util to: org.apache.batik.i18n; from: org.apache.batik.util to: org.apache.batik.util.gui.resource; from: org.apache.batik.util to: org.apache.batik.test; from: org.apache.batik.util.gui to: org.apache.batik.util.gui.resource; from: org.apache.batik.util.io to: org.apache.batik.i18n; from: org.apache.batik.util.io to: org.apache.batik.util; from: org.apache.batik.util.resources to: org.apache.batik.i18n; from: org.apache.batik.xml to: org.apache.batik.i18n; from: org.apache.batik.xml to: org.apache.batik.util.io; from: org.apache.batik.xml to: org.apache.batik.util; from: org.apache.batik.test to: org.apache.batik.util; from: org.apache.batik.test to: org.apache.batik.i18n; from: org.apache.batik.test.svg to: org.apache.batik.test; from: org.apache.batik.test.svg to: org.apache.batik.ext.awt.image.codec; from: org.apache.batik.test.svg to: org.apache.batik.ext.awt.image.spi; from: org.apache.batik.test.svg to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.test.svg to: org.apache.batik.ext.awt.image; from: org.apache.batik.test.svg to: org.apache.batik.swing; from: org.apache.batik.test.svg to: org.apache.batik.i18n; from: org.apache.batik.test.svg to: org.apache.batik.dom.svg; from: org.apache.batik.test.svg to: org.apache.batik.bridge; from: org.apache.batik.test.svg to: org.apache.batik.util; from: org.apache.batik.test.svg to: org.apache.batik.transcoder.image; from: org.apache.batik.test.svg to: org.apache.batik.transcoder; from: org.apache.batik.test.util to: org.apache.batik.test; from: org.apache.batik.test.util to: org.apache.batik.ext.awt.image.codec; from: org.apache.batik.test.util to: org.apache.batik.ext.awt.image.spi; from: org.apache.batik.test.util to: org.apache.batik.ext.awt.image.renderable; from: org.apache.batik.test.util to: org.apache.batik.ext.awt.image; from: org.apache.batik.test.xml to: org.apache.batik.i18n; from: org.apache.batik.test.xml to: org.apache.batik.test; from: org.apache.batik.test.xml to: org.apache.batik.util.
1.5.1,org.apache.batik.apps.rasterizer,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
